title,url,discounted_price,original_price
Authentic Uwell Caliburn A2 Pod Kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-a2-pod-kit-black-p-21866.html,$25.15,$25.15
Authentic Dovpo Riva 200 Box Mod - Black,https://www.cigabuy.com/authentic-dovpo-riva-200-box-mod-black-p-22184.html,$53.80,$53.80
Authentic asMODus Lustro 200W TC Box Mod - Lime Green,https://www.cigabuy.com/authentic-asmodus-lustro-200w-tc-box-mod-lime-green-p-21804.html,$13.78,$88.27 
Authentic Uwell Caliburn A2 Pod Kit - Iris Purple,https://www.cigabuy.com/authentic-uwell-caliburn-a2-pod-kit-iris-purple-p-21870.html,$25.15,$25.15
3 x Authentic Horizon SAKERZ 0.17ohm 2 in1 mesh Replacement Coil,https://www.cigabuy.com/3-x-authentic-horizon-sakerz-017ohm-2-in1-mesh-replacement-coil-p-20779.html,$7.98,$9.57 
30pcs Demon Killer Slacker Cotton Hardcover for RTA Building,https://www.cigabuy.com/30pcs-demon-killer-slacker-cotton-hardcover-for-rta-building-p-13050.html,$2.27,$2.69 
Authentic Wotofo Profile Unity RTA 3.5/5ml 25MM - Gunmetal,https://www.cigabuy.com/authentic-wotofo-profile-unity-rta-355ml-25mm-gunmetal-p-14165.html,$19.33,$43.13 
Authentic Steam Crave Hadron Lite SBS MOD - Black,https://www.cigabuy.com/authentic-steam-crave-hadron-lite-sbs-mod-black-p-22273.html,$60.40,$60.40
Authentic VOOPOO Drag X Plus Professional Edition Mod - BLACK + BLACK,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-professional-edition-mod-black-black-p-21653.html,$31.74,$43.79 
5 x Authentic VOOPOO PnP-VM6 coil 0.15ohm,https://www.cigabuy.com/5-x-authentic-voopoo pnp-vm6 coil-015ohm-p-19505.html,$10.20,$11.55 
Authentic Uwell Caliburn AK2 Kit - Classic Black,https://www.cigabuy.com/authentic-uwell-caliburn-ak2-kit-classic-black-p-22084.html,$27.17,$27.17
Authentic asMODus Lustro 200W TC Box Mod - Pink,https://www.cigabuy.com/authentic-asmodus-lustro-200w-tc-box-mod-pink-p-21933.html,$20.47,$25.38 
Authentic Vandyvape KYLIN M PRO RTA - Gunmetal,https://www.cigabuy.com/authentic-vandyvape-kylin-pro-rta-gunmetal-p-21998.html,$42.26,$42.26
Authentic Uwell Caliburn G POD kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-black-p-19935.html,$20.41,$33.15 
Authentic Vandyvape GAUR-21 Mod - Carbon Fiber Black,https://www.cigabuy.com/authentic-vandyvape-gaur-21-mod-carbon-fiber-black-p-20363.html,$38.54,$60.80 
20 x Authentic Wotofo Profile 0.18Ω Mesh Coil for Profile RDA 10pcs/pack,https://www.cigabuy.com/20-x-authentic-wotofo-profile-018Ω-mesh-coil-for-profile-rda-10pcspack-p-21688.html,$4.55,$9.63 
Authentic VapX Geyser 100W Pod Kit Without Battery - Charcoal Black,https://www.cigabuy.com/authentic-vapx-geyser-100w-pod-kit-without-battery-charcoal-black-p-19690.html,$11.36,$62.89 
Authentic Vsticking VKsma YiHi Chip Pod Kit SMA ADA - Suede Black,https://www.cigabuy.com/authentic-vsticking-vksma-yihi-chip-pod-kit-sma-ada-suede-black-p-16363.html,$7.57,$99.32 
Authentic Uwell Caliburn G2 Pod Kit - Carbon Black,https://www.cigabuy.com/authentic-uwell-caliburn-g2-pod-kit-carbon-black-p-22275.html,$30.22,$30.22
Authentic Vandyvape KYLIN M PRO RTA - Matte Black,https://www.cigabuy.com/authentic-vandyvape-kylin-pro-rta-matte-black-p-21999.html,$42.26,$42.26
Authentic asMODus Lustro 200W TC Box Mod - Teal + pink,https://www.cigabuy.com/authentic-asmodus-lustro-200w-tc-box-mod-teal-pink-p-22008.html,$36.39,$42.68 
Authentic Uwell Caliburn A2 Pod Kit - Green,https://www.cigabuy.com/authentic-uwell-caliburn-a2-pod-kit-green-p-21869.html,$25.15,$25.15
Authentic DamnVape Doom X MESH RTA 26mm - SS,https://www.cigabuy.com/authentic-damnvape-doom-x-mesh-rta-26mm-ss-p-20610.html,$25.09,$25.20 
10 x Alien Calpton Coil Wire 32GA A1 0.45ohm,https://www.cigabuy.com/10-x-alien-calpton-coil-wire-32ga-a1-045ohm-p-13658.html,$2.27,$3.89 
Authentic Wotofo MDura Mini Mod - Halftone Black,https://www.cigabuy.com/authentic-wotofo-mdura-mini-mod-halftone-black-p-21630.html,$40.21,$40.21
5M SEA WOLF A1 Alien Heating Wire 32GA+0.3*0.8Flat,https://www.cigabuy.com/5m-sea-wolf-a1-alien-heating-wire-32ga0308flat-p-14126.html,$3.40,$4.06 
Authentic Wotofo x Mrjustright1 Profile Squonk Box Mod - Gunmetal,https://www.cigabuy.com/authentic-wotofo-x-mrjustright1-profile-squonk-box-mod-gunmetal-p-21858.html,$55.31,$55.31
Authentic Steam Crave Aromamizer Supreme V3 RDTA advanced kit 7ml 25ml - Black,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-advanced-kit-7ml-25ml-black-p-19980.html,$41.94,$80.68 
Authentic Vsticking VKsma YiHi Chip Pod Kit SMA ADA - Leather Black,https://www.cigabuy.com/authentic-vsticking-vksma-yihi-chip-pod-kit-sma-ada-leather-black-p-16362.html,$7.57,$99.32 
Authentic Dovpo Riva 200 Box Mod - Silver Blue,https://www.cigabuy.com/authentic-dovpo-riva-200-box-mod-silver-blue-p-22190.html,$53.80,$53.80
Authentic Dovpo Riva 200 Box Mod - Silver Black,https://www.cigabuy.com/authentic-dovpo-riva-200-box-mod-silver-black-p-22185.html,$53.80,$53.80
4 x Authentic Uwell Caliburn G 1.0ohm MTL Coil,https://www.cigabuy.com/4-x-authentic-uwell caliburn-g-10ohm-mtl-coil-p-21200.html,$7.96,$8.60 
Authentic asMODus Colossal 80W Box Mod - Peal White + Royal Blue,https://www.cigabuy.com/authentic-asmodus-colossal-80w-box-mod-peal-white-royal-blue-p-22094.html,$28.43,$36.99 
50pcs SEA WOLF V3 Cleaning Organic Cotton Wick for E-cigarette 10pcs/pack,https://www.cigabuy.com/50pcs-sea-wolf-v3-cleaning-organic-cotton-wick-for-e-cigarette-10pcspack-p-21220.html,$2.27,$4.58 
Authentic Uwell Caliburn AK2 Kit - Neon Orange,https://www.cigabuy.com/authentic-uwell-caliburn-ak2-kit-neon-orange-p-22086.html,$27.17,$27.17
Authentic Geekvape L200 Aegis Legend 2 Kit - Rainbow,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-rainbow-p-21208.html,$86.37,$86.37
8pcs Authentic Uwell Crown Pod Repalcement Cartridge 0.6ohm 2pcs/pack,https://www.cigabuy.com/8pcs-authentic-uwell-crown-pod-repalcement-cartridge-06ohm-2pcspack-p-21683.html,$23.88,$28.16 
Authentic Vandyvape Pulse AIO Kit - Frosted White,https://www.cigabuy.com/authentic-vandyvape-pulse-aio-kit-frosted-white-p-22321.html,$95.73,$95.73
Authentic Vandyvape Pulse AIO Kit - Black,https://www.cigabuy.com/authentic-vandyvape-pulse-aio-kit-black-p-22316.html,$95.73,$95.73
Authentic Wotofo Profile RDTA  - Black,https://www.cigabuy.com/authentic-wotofo-profile-rdta-black-p-19384.html,$26.07,$44.16 
Authentic Steam Crave Aromamizer Ragnar RDTA Advanced Kit - SS,https://www.cigabuy.com/authentic-steam-crave-aromamizer-ragnar-rdta-advanced-kit-ss-p-19143.html,$50.04,$91.73 
Authentic Geekvape L200 Aegis Legend 2 Kit - Navy Blue,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-navy-blue-p-21207.html,$50.17,$86.37 
Authentic Geekvape S100 Aegis Solo 2 Mod - Classic Black,https://www.cigabuy.com/authentic-geekvape-s100-aegis-solo-2-mod-classic-black-p-21879.html,$57.07,$57.07
Authentic Geekvape L200 Aegis Legend 2 MOD - Black,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-black-p-21210.html,$38.77,$63.76 
5 x Authentic Wotofo nexMESH Clapton S A1+Ni80 0.15ohm Coil,https://www.cigabuy.com/5-x-authentic-wotofo-nexmesh-clapton-s-a1ni80-015ohm-coil-p-20471.html,$4.53,$10.26 
5 x Authentic VOOPOO PnP-VM3 Single Mesh Coil 0.45ohm,https://www.cigabuy.com/5-x-authentic-voopoo-pnp-vm3-single-mesh-coil-045ohm-p-18288.html,$10.20,$14.01 
Authentic Steam Crave Hadron Pro DNA250C 400W MOD - Black,https://www.cigabuy.com/authentic-steam-crave-hadron-pro-dna250c-400w-mod-black-p-21505.html,$200.30,$200.30
Authentic Steam Crave Hadron Pro DNA250C 400W MOD - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-hadron-pro-dna250c-400w-mod-gunmetal-p-21506.html,$132.63,$200.30 
4 x Authentic Uwell Crown 5 FeCrAl UN2-2 Dual Meshed Coil 0.3ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-2-dual-meshed-coil-03ohm-p-20281.html,$12.47,$19.60 
Authentic Wotofo Profile PS Dual Mesh RDA - Gunmetal,https://www.cigabuy.com/authentic-wotofo-profile-ps-dual-mesh-rda-gunmetal-p-22017.html,$35.18,$35.18
Authentic Vandyvape KYLIN M PRO RTA - SS,https://www.cigabuy.com/authentic-vandyvape-kylin-pro-rta-ss-p-22001.html,$40.25,$40.25
Authentic Fucig EXvape eXpromizer V5 MTL RTA - Sandblast,https://www.cigabuy.com/authentic-fucig-exvape-expromizer-v5-mtl-rta-sandblast-p-20608.html,$27.37,$29.51 
Authentic Geekvape Zeus Sub-ohm Tank Atomizer 5ml - Black,https://www.cigabuy.com/authentic-geekvape-zeus-sub-ohm-tank-atomizer-5ml-black-p-15776.html,$13.78,$33.45 
Authentic Geekvape S100 Aegis Solo 2 Mod - Silver,https://www.cigabuy.com/authentic-geekvape-s100-aegis-solo-2-mod-silver-p-21882.html,$57.07,$57.07
Authentic Steam Crave Titan PWM V1.5 Mod - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-titan-pwm-v15-mod-gunmetal-p-19520.html,$49.88,$84.69 
Authentic Uwell Caliburn AK2 Kit - Graphite Gray,https://www.cigabuy.com/authentic-uwell-caliburn-ak2-kit-graphite-gray-p-22085.html,$27.17,$27.17
Authentic Geekvape L200 Aegis Legend 2 MOD - Silver,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-silver-p-21213.html,$38.54,$63.76 
Authentic Steam Crave Aromamizer Classic MTL RTA - SS,https://www.cigabuy.com/authentic-steam-crave-aromamizer-classic-mtl-rta-ss-p-22269.html,$37.21,$37.21
Authentic Wotofo Profile PS Dual Mesh RDA - SS,https://www.cigabuy.com/authentic-wotofo-profile-ps-dual-mesh-rda-ss-p-22014.html,$35.18,$35.18
Authentic Wotofo Profile RDTA  - Gunmetal,https://www.cigabuy.com/authentic-wotofo-profile-rdta-gunmetal-p-19385.html,$26.07,$44.16 
Authentic Uwell Crown 5 5ml sub-ohm Tank Atomizer - Black,https://www.cigabuy.com/authentic-uwell-crown-5-5ml-sub-ohm-tank-atomizer-black-p-20264.html,$22.67,$36.11 
Authentic Exvape Expromizer V1.4 RTA Limited Edition - Black,https://www.cigabuy.com/authentic-exvape-expromizer-v14-rta-limited-edition-black-p-22020.html,$59.38,$59.38
Authentic Steam Crave Hadron Plus DNA250C Box Mod - Black,https://www.cigabuy.com/authentic-steam-crave-hadron-plus-dna250c-box-mod-black-p-22038.html,$180.17,$180.17
Authentic Vaporesso Target 200 Kit - Carbon Black,https://www.cigabuy.com/authentic-vaporesso-target-200-kit-carbon-black-p-22216.html,$50.04,$52.79 
Authentic ThunderHead Creations THC Tauren Elite Lite MTL RTA Pro Edition - SS,https://www.cigabuy.com/authentic-thunderhead-creations-thc-tauren-elite-lite-mtl-rta-pro-edition-ss-p-22244.html,$43.26,$43.26
Authentic Geekvape L200 Aegis Legend 2 Kit - Red,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-red-p-21209.html,$48.75,$86.37 
4 x Authentic Uwell Crown 5 FeCrAl UN2-3 Triple Meshed Coil 0.2ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-3-triple-meshed-coil-02ohm-p-20282.html,$13.78,$23.73 
Authentic Vandy Vape PYRO V4 RDTA - Matte Black,https://www.cigabuy.com/authentic-vandy-vape-pyro-v4-rdta-matte-black-p-22174.html,$39.59,$39.59
Authentic VOOPOO Drag X Plus Professional Edition Mod - BLACK COFFEE,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-professional-edition-mod-black-coffee-p-21656.html,$28.43,$43.79 
Authentic MECHLYFE Paramour SBS 80W TC MOD - Grey Black,https://www.cigabuy.com/authentic-mechlyfe-paramour-sbs-80w-tc-mod-grey-black-p-20336.html,$43.21,$81.95 
Authentic Hellvape Dead Rabbit R Tank - Matte Full Black,https://www.cigabuy.com/authentic-hellvape-dead-rabbit-r-tank-matte-full-black-p-22046.html,$21.54,$23.14 
Authentic Fucig EXvape eXpromizer V5 MTL RTA - Black,https://www.cigabuy.com/authentic-fucig-exvape-expromizer-v5-mtl-rta-black-p-20604.html,$28.51,$29.51 
Authentic Uwell Caliburn KOKO Prime Kit - Grey,https://www.cigabuy.com/authentic-uwell-caliburn-koko-prime-kit-grey-p-20248.html,$22.67,$34.74 
Authentic Steam Crave Aromamizer Ragnar RDTA Advanced Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-ragnar-rdta-advanced-gunmetal-p-19144.html,$50.04,$91.73 
Authentic Geekvape Zeus Sub-ohm Tank Atomizer 5ml - Gunmetal,https://www.cigabuy.com/authentic-geekvape-zeus-sub-ohm-tank-atomizer-5ml-gunmetal-p-16130.html,$20.47,$25.54 
Authentic Vandy Vape PYRO V4 RDTA - SS,https://www.cigabuy.com/authentic-vandy-vape-pyro-v4-rdta-ss-p-22175.html,$35.53,$35.53
Authentic Uwell CROWN 5 V Box Kit  - Red,https://www.cigabuy.com/authentic-uwell-crown-5-v-box-kit-red-p-21059.html,$56.68,$81.41 
Authentic Steam Crave Hadron Plus DNA250C 200W Advanced Kit - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-hadron-plus-dna250c-200w-advanced-kit-gunmetal-p-22040.html,$230.50,$230.50
Authentic Uwell CROWN 5 V Box Kit  - Blue,https://www.cigabuy.com/authentic-uwell-crown-5-v-box-kit-blue-p-21060.html,$56.68,$81.41 
5 x Authentic SMOK LP2 Meshed 0.23ohm DL Coil,https://www.cigabuy.com/5-x-authentic-smok-lp2-meshed-023ohm-dl-coil-p-21171.html,$12.47,$13.25 
Authentic Dovpo Blotto Single Coil RTA - Black,https://www.cigabuy.com/authentic-dovpo-blotto-single-coil-rta-black-p-21994.html,$36.74,$36.74
Authentic Steam Crave Aromamizer Supreme V3 RDTA advanced kit 7ml - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-advanced-kit-7ml-gunmetal-p-19981.html,$41.94,$80.68 
Authentic asMODus Minikin 3 200W Touch Screen Box Mod - Black+Coffee,https://www.cigabuy.com/authentic-asmodus-minikin-3-200w-touch-screen-box-mod-blackcoffee-p-22292.html,$28.43,$132.28 
Authentic Timesvape Dreamer V1.5 Mech Mod - Black Copper,https://www.cigabuy.com/authentic-timesvape-dreamer-v15-mech-mod-black-copper-p-20481.html,$37.53,$44.80 
Authentic asMODus Minikin 3 200W Touch Screen Box Mod - Black+Purple,https://www.cigabuy.com/authentic-asmodus-minikin-3-200w-touch-screen-box-mod-blackpurple-p-22293.html,$28.43,$132.28 
Authentic SMOK Morph Pod-80 Pod Kit - Black Carbon Fiber,https://www.cigabuy.com/authentic-smok-morph-pod-80-pod-kit-black-carbon-fiber-p-22035.html,$23.95,$32.20 
Authentic Vandyvape Pulse AIO Kit - Frosted Red,https://www.cigabuy.com/authentic-vandyvape-pulse-aio-kit-frosted-red-p-22320.html,$95.73,$95.73
Authentic Geekvape Wenax Stylus Pod Starter Kit - Classic Black,https://www.cigabuy.com/authentic-geekvape-wenax-stylus-pod-starter-kit-classic-black-p-19295.html,$13.78,$24.31 
5 x Authentic Geekvape Aegis Pod Replacement Mesh Coils 0.6ohm,https://www.cigabuy.com/5-x-authentic-geekvape-aegis-pod-replacement-mesh-coils-06ohm-p-18212.html,$7.98,$9.27 
Authentic ThunderHead Creations THC Tauren Elite Lite RTA Pro Edition - Black,https://www.cigabuy.com/authentic-thunderhead-creations-thc-tauren-elite-lite-rta-pro-edition-black-p-22245.html,$45.28,$45.28
10 x Authentic Wotofo Profile 0.18Ω Mesh Coil for Profile RDA,https://www.cigabuy.com/10-x-authentic-wotofo-profile-018Ω-mesh-coil-for-profile-rda-p-13236.html,$3.40,$4.81 
Authentic VOOPOO DRAG Nano 2 Pod Kit - Carbon Fiber,https://www.cigabuy.com/authentic-voopoo-drag-nano-2-pod-kit-carbon-fiber-p-22203.html,$19.27,$21.01 
Authentic Uwell Caliburn G2 Pod Kit - Gradient,https://www.cigabuy.com/authentic-uwell-caliburn-g2-pod-kit-gradient-p-22277.html,$30.22,$30.22
Authentic Hellvape Fat Rabbit RTA - Gunmetal,https://www.cigabuy.com/authentic-hellvape-fat-rabbit-rta-gunmetal-p-21706.html,$23.95,$26.80 
10pcs Authentic VOOPOO PnP-VM1 Mesh Coil 0.3ohm 5pcs/pack,https://www.cigabuy.com/10pcs-authentic-voopoo-pnp-vm1-mesh-coil-03ohm-5pcspack-p-21689.html,$18.20,$20.40 
10 x Authentic Coilology Quad-core Ni80 Fused Clapton Coils,https://www.cigabuy.com/10-x-authentic-coilology-quad-core-ni80-fused-clapton-coils-p-14429.html,$3.42,$4.98 
4 x Authentic Vandyvape VVC-30 VVC Coil 0.3ohm,https://www.cigabuy.com/4-x-authentic-vandyvape-vvc-30-vvc-coil-03ohm-p-21783.html,$11.06,$11.06
Authentic Steam Crave Hadron Lite Advanced Combo Kit - Black,https://www.cigabuy.com/authentic-steam-crave-hadron-lite-advanced-combo-kit-black-p-22271.html,$110.83,$110.83
Authentic Geekvape L200 Aegis Legend 2 Kit - Silver,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-silver-p-21206.html,$50.17,$86.37 
10pcs Authentic Wotofo Agleted Organic Cotton 6mm,https://www.cigabuy.com/10pcs-authentic-wotofo-agleted-organic-cotton-6mm-p-13261.html,$3.40,$4.84 
Authentic Hellvape Dead Rabbit R Tank - Gunmetal,https://www.cigabuy.com/authentic-hellvape-dead-rabbit-r-tank-gunmetal-p-22044.html,$21.58,$23.14 
Authentic Dovpo Riva 200 Box Mod - Black Brown,https://www.cigabuy.com/authentic-dovpo-riva-200-box-mod-black-brown-p-22183.html,$53.80,$53.80
Authentic Hellvape Fat Rabbit RTA - Matte Black,https://www.cigabuy.com/authentic-hellvape-fat-rabbit-rta-matte-black-p-21707.html,$24.94,$26.80 
Authentic DamnVape Doom X MESH RTA 26mm - Gunmetal,https://www.cigabuy.com/authentic-damnvape-doom-x-mesh-rta-26mm-gunmetal-p-20611.html,$21.54,$25.20 
Authentic Hellvape Dead Rabbit R Tank - Blue,https://www.cigabuy.com/authentic-hellvape-dead-rabbit-r-tank-blue-p-22047.html,$20.41,$23.14 
Authentic VOOPOO PnP Pod Tank 4.5ml - Black,https://www.cigabuy.com/authentic-voopoo-pnp-pod-tank-45ml-black-p-20119.html,$7.96,$9.27 
Authentic VOOPOO DRAG 3 177W MOD - Prussian Blue,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-mod-prussian-blue-p-20567.html,$36.28,$37.95 
Authentic Vandyvape Pulse AIO Kit - Frosted Green,https://www.cigabuy.com/authentic-vandyvape-pulse-aio-kit-frosted-green-p-22319.html,$95.73,$95.73
Authentic SMOK ARCFOX 230W KIT - Prism Rainbow,https://www.cigabuy.com/authentic-smok-arcfox-230w-kit-prism-rainbow-p-20738.html,$54.41,$60.70 
Authentic Steam Crave Hadron Lite SBS MOD - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-hadron-lite-sbs-mod-gunmetal-p-22274.html,$60.40,$60.40
Authentic Vandyvape PR SE Kit - Glacier Silver,https://www.cigabuy.com/authentic-vandyvape-se-kit-glacier-silver-p-21781.html,$75.48,$75.48
Authentic Steam Crave Aromamizer Classic MTL RTA - Black,https://www.cigabuy.com/authentic-steam-crave-aromamizer-classic-mtl-rta-black-p-22270.html,$37.21,$37.21
Authentic Dovpo Topside Dual 200W Squonker Box Mod - Gunmetal,https://www.cigabuy.com/authentic-dovpo-topside-dual-200w-squonker-box-mod-gunmetal-p-14041.html,$67.10,$96.30 
Authentic Dovpo Blotto Single Coil RTA - Gunmetal,https://www.cigabuy.com/authentic-dovpo-blotto-single-coil-rta-gunmetal-p-21995.html,$36.74,$36.74
Authentic Steam Crave Hadron Plus DNA250C Mod - Silver,https://www.cigabuy.com/authentic-steam-crave-hadron-plus-dna250c-mod-silver-p-22037.html,$180.17,$180.17
Authentic Dovpo Riva 200 Box Mod - Silver Brown,https://www.cigabuy.com/authentic-dovpo-riva-200-box-mod-silver-brown-p-22188.html,$53.80,$53.80
Authentic VOOPOO DRAG 3 177W MOD - Classic,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-mod-classic-p-20569.html,$36.28,$38.26 
